Plotosaurus,Cretaceous,Mosasauridae,1941,2400
Coelophysis,Triassic,Coelophysidae,1887,20
Echinodon,Cretaceous,Heterodontosauridae,1861,7
Saltasaurus,Cretaceous,Saltasauridae,1977,7000
Diplodocus,Jurassic,Diplodocidae,1877,13000
